City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
273,qaqortoq,75,GL,1526849400,55,60.72,-46.03,35.6,10.29
274,ushtobe,0,KZ,1526852186,37,45.25,77.98,44.75,5.99
275,atambua,20,ID,1526852161,100,-9.11,124.89,75.71,11.25
276,saverne,0,FR,1526850000,87,48.74,7.36,60.8,6.93
277,awjilah,12,LY,1526852162,18,29.14,21.3,86.06,9.46
278,sao felix do xingu,0,BR,1526852162,73,-6.64,-51.99,81.29,1.97
279,paita,0,PE,1526850000,69,-5.09,-81.11,77.0,13.87
280,sept-iles,20,CA,1526850000,32,50.2,-66.38,55.4,19.46
281,curup,80,ID,1526852163,95,-3.47,102.53,68.69,1.86
282,mogadishu,56,SO,1526852112,100,2.04,45.34,80.21,12.82
283,geraldton,20,CA,1526850000,46,49.72,-86.95,69.8,18.34
284,sabang,8,PH,1526852164,98,13.72,123.58,77.87,3.31
285,omsukchan,44,RU,1526852165,85,62.53,155.8,37.37,6.89
286,neryungri,0,RU,1526852165,76,56.66,124.71,33.86,4.99
287,orocue,100,CO,1526852166,100,4.79,-71.34,75.35,7.0
288,kavieng,100,PG,1526852166,100,-2.57,150.8,85.25,12.48
289,pamanukan,20,ID,1526852167,100,-6.28,107.82,83.0,6.67
290,robertsport,80,LR,1526852167,100,6.75,-11.37,82.01,9.01
291,ajaccio,0,FR,1526850000,77,41.93,8.74,66.2,5.82
292,honiara,40,SB,1526850000,88,-9.43,159.96,80.6,5.82
293,comodoro rivadavia,0,AR,1526850000,71,-45.87,-67.48,51.8,6.93
294,kanigoro,36,ID,1526852169,91,-8.13,112.22,79.22,9.24
295,toropets,0,RU,1526852169,68,56.5,31.64,45.74,7.0
296,nantucket,90,US,1526849760,100,41.28,-70.1,62.6,17.22
297,phimai,44,TH,1526846400,94,15.22,102.49,77.0,1.12
298,impfondo,68,CD,1526852170,100,1.62,18.06,72.2,2.08
299,tabuleiro do norte,32,BR,1526852171,51,-5.24,-38.13,86.87,3.42
300,boromo,48,BF,1526852171,31,11.74,-2.93,92.36,9.13
301,torbay,90,CA,1526851200,100,47.66,-52.73,55.4,27.51
302,stawell,56,AU,1526852172,92,-37.06,142.77,51.86,10.58
303,yar-sale,92,RU,1526852172,92,66.83,70.83,34.22,16.84
304,gravdal,12,NO,1526849400,87,59.79,5.78,51.8,8.05
305,trinidad,75,UY,1526850000,72,-33.52,-56.9,59.0,6.22
306,harrison,75,US,1526850900,57,39.26,-84.82,86.0,3.87
307,silos,40,CO,1526850000,83,7.21,-72.76,75.2,8.05
308,aswan,0,EG,1526852175,22,24.09,32.9,91.55,12.82
